TrialNumber	stim0	stim1	stim2	stim3	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
16	P	C	O	P	C	8	1	shapes	C	7	True	9	(4.1025688530952191, -7.4121842395423849)	(-1.3663901594440304, 2.8610818965451958)	(8.0556669797402414, -0.73316054308365253)	(-4.1346363804558015, 8.425477423775277)	1.0	z	1.47492
17	P	C	D	O	P	4	0	shapes	P	7	True	9	(7.9561333319913174, -6.4708701079301711)	(-4.6529339362089237, -1.5837088557268952)	(-3.9138188490886527, 5.0216397661541308)	(3.9208109146572649, 8.7325421553253513)	1.0	z	0.974498
18	O	C	C	P	C	8	1	shapes	C	7	True	9	(-3.4654477074995711, -7.0110888252631094)	(2.651750273115594, -6.2371081485404272)	(6.3741038083968089, -4.2828444565933754)	(-6.9958548111235714, 0.25974686647411183)	1.0	z	1.2401
19	O	D	C	P	D	4	0	shapes	O	7	False	9	(0.18386755425089341, 1.2407165076103563)	(-6.97824028724669, -4.9132532831799374)	(2.3843024292192005, -3.2537360063212359)	(-6.3397385631400667, 3.8918447093861008)	1.0	slash	1.53788
20	P	D	O	D	O	4	3	shapes	D	7	False	9	(3.4887655464776923, -8.2129101470891968)	(1.6631157265680621, 2.6426023768161926)	(-2.2352439805611617, -1.7276841192763674)	(-8.3598008545992624, 3.0514388510514028)	1.0	slash	1.42326
21	P	D	P	D	O	8	6	shapes	O	7	True	9	(-2.3385358706437485, 5.3308434603561476)	(8.3933211169706254, 4.4517301874251718)	(-7.1435460560356301, 7.2671909504187546)	(-7.6961582149150543, -7.8281577539374183)	1.0	slash	1.46096
22	P	C	O	O	D	4	1	shapes	C	7	False	9	(-5.711470736780214, 7.1380982316017025)	(5.401757850637841, 3.6815019121954133)	(-2.6648227714362207, -8.2767587735627206)	(4.7988047990412319, -4.1877951670934443)	1.0	z	0.890556
23	O	C	D	C	D	8	6	shapes	O	7	False	9	(-2.2121563317273738, 0.27279919295126298)	(6.520178380079912, -2.4964555727764282)	(3.0325707606583219, 3.452810574415377)	(-1.7954583225461667, -5.2655516257563253)	1.0	slash	1.53411
24	P	D	O	P	O	8	0	shapes	P	7	False	9	(8.2832097623724188, -0.4503481782506551)	(-7.4339167372374604, 6.391503236824061)	(-1.5399937335946214, -7.7514375424159656)	(8.4862278245039846, -7.928587829923436)	1.0	slash	1.53584
25	O	D	D	O	D	4	0	shapes	O	7	False	9	(5.7520358606237671, -1.3145127980938449)	(-5.1071561041746785, 0.53866713006043554)	(4.8564100528260905, 4.4628399159292282)	(-7.2885018426442638, -3.7918964973082652)	1.0	slash	1.0713
26	P	D	P	P	D	8	0	shapes	P	7	False	9	(7.0934060382078421, -3.8611367509463346)	(-1.43959529696461, -6.3623065575276163)	(-8.2696250779280742, 0.20257606694538133)	(-1.42768407582862, 6.8866252862987185)	1.0	slash	1.22906
27	O	D	P	C	O	8	6	shapes	C	7	False	9	(4.6334126729942984, 5.2978027941877617)	(-8.5245753875867987, 0.73717077873178738)	(-8.6683225413488429, 7.2906711050394684)	(-3.4660134119769976, -2.203767016823627)	1.0	slash	1.11471
28	O	D	P	P	P	8	2	shapes	P	7	True	9	(-7.5925722324561828, -6.4543885014595883)	(-1.6631336432227481, -2.4568606020935082)	(2.1878486295751252, 6.3745533017192511)	(2.2009386332708551, -4.201995744255175)	1.0	z	1.31181
29	P	D	O	D	D	4	1	shapes	D	7	True	9	(0.62207620909656391, -6.1751185830256858)	(-5.2074182822192965, 4.238771540579485)	(2.3347513961921766, 1.2065238142795049)	(-7.1168336679429114, -0.36111142278689989)	1.0	z	1.13181
30	O	C	C	P	P	4	3	shapes	P	7	True	9	(-2.0057389673261161, -6.7624332220493066)	(2.8846047414869069, -7.849136858960251)	(0.83321075611539186, 4.1857933919119965)	(-7.7342093874992726, 1.4940199531965863)	1.0	z	1.40351
31	O	D	P	D	P	8	2	shapes	P	7	True	9	(1.6241556411008382, -0.72604212065177087)	(5.8429214118302006, -2.6426258716699529)	(1.5882882804644591, 4.4385235069586333)	(-6.9679412133459202, -1.5385125554747594)	1.0	z	1.20517
32	O	C	C	P	C	4	2	shapes	C	7	True	9	(3.4109448282081942, -2.9089111051999534)	(4.4268900254900689, 5.7445608393397851)	(-6.5517361643865177, 1.753118170692435)	(-6.9461941723153267, -2.4715693318229297)	1.0	z	1.04686
1	R	E	E	Q	E	8	0	shapes	R	8	False	9	(2.8189127582243074, -0.64987342166959827)	(-5.3695382540266205, -4.5350676756844059)	(-1.1298110929826839, -7.7402923667513042)	(-6.3369060954431538, 6.3106658027426903)	1.0	z	1.16827
2	R	F	R	Q	E	8	6	shapes	R	8	False	9	(8.2763223776846928, -1.8419147773627804)	(8.456358907832108, -6.4918942513628632)	(-5.713372971625609, -0.73002810068810753)	(-5.3603818574589104, 5.1064443793014256)	1.0	slash	1.19393
3	Q	E	Q	E	Q	8	5	shapes	Q	8	True	9	(4.8035034679514634, 0.66090727448613862)	(-6.6477601982269219, 1.388694796455912)	(-0.24128145635794596, -0.52993642747247982)	(-5.2947014267889365, 5.8610826017234317)	1.0	slash	1.55956
4	Q	F	F	E	E	8	3	shapes	E	8	True	9	(5.2929445607896088, -0.79244768405415922)	(0.05245430617371305, -7.5839353296167165)	(-5.7380110667454458, -1.6779755498405704)	(-7.3565530570581394, 2.8348625232848867)	1.0	z	1.16302
5	Q	E	F	F	R	4	3	shapes	F	8	False	9	(-4.2096534677336548, -1.4467442929895995)	(7.9195068031552545, 3.3118540161664622)	(0.61864190221507087, -8.7080462287986933)	(-4.3555974338296179, 4.7483679574402675)	1.0	slash	1.63679
6	Q	F	R	F	F	4	0	shapes	Q	8	False	9	(3.3547987156386512, 5.698304345942919)	(4.4114914368108433, -8.4382386650825474)	(-6.9837029189613649, 1.001374742091814)	(-3.5865870139342109, -3.2890948079012174)	1.0	slash	1.64044
7	R	F	Q	Q	R	8	0	shapes	R	8	True	9	(-1.0622337586273405, 5.0004850595842285)	(-0.20840064364450406, -3.2778701295403154)	(7.9598105039568168, 7.8602054832375963)	(7.8853898628003201, 1.3612904609072665)	1.0	z	2.262
8	Q	F	R	R	E	8	2	shapes	R	8	False	9	(3.5234077079837292, 7.3868320943154409)	(8.4264001358028224, -2.6308200061369362)	(-7.220414670659137, -6.2587691490493302)	(-8.0984718232700228, 5.5855496394748698)	1.0	slash	1.37552
9	R	F	F	F	E	8	4	shapes	E	8	True	9	(-8.3965534572990261, 1.7937109740374364)	(7.029911032415896, -1.6687881025375768)	(3.3116132192290095, 8.7167019159747632)	(-3.3978586212522224, 6.4961905053429785)	1.0	z	0.873255
10	Q	F	Q	R	F	8	4	shapes	F	8	True	9	(3.494471879372993, -7.0192177169421139)	(3.4308058588675383, 0.20367236367902741)	(-6.0469051497366273, 3.6292017301550281)	(-0.352896021651528, -5.6860655213358076)	1.0	slash	1.25488
11	R	F	F	R	Q	8	1	shapes	F	8	False	9	(-5.2343663395423903, 7.9323699743656135)	(7.1678425785895392, -0.73942032118321421)	(6.8098139595115939, -5.9052255320552707)	(-5.0737652938084921, -5.0679525602652031)	1.0	slash	0.920507
12	R	F	Q	F	R	4	0	shapes	R	8	True	9	(6.9312223379813389, -6.6369699839748577)	(-6.2035121401984092, -7.3398207843623249)	(-0.0081351775573601515, 1.7900216385911953)	(4.09616946415413, 5.4908142207440225)	1.0	z	1.28999
13	R	F	E	R	E	4	2	shapes	E	8	True	9	(-4.599718218958964, 5.3756268904104942)	(3.2548311462736521, 2.495950311433333)	(0.95138601506454989, -4.4407713698201166)	(-7.0982378776468336, -1.1765015834234376)	1.0	z	0.985694
14	R	F	E	F	E	4	2	shapes	E	8	True	9	(2.5789856733894343, -0.30678032352428453)	(7.5822329428167023, 2.7289943925641236)	(-1.5780656686775938, -5.9172120924885068)	(-2.125667969236031, 1.930224990892011)	1.0	z	1.03129
15	Q	E	Q	F	E	4	0	shapes	Q	8	False	9	(-1.3996302247930261, -2.5323334207260828)	(0.36884118432158175, 7.2075339270061338)	(2.3768568837167177, -6.1748807683979301)	(-7.5741296821729591, 8.4750125418737667)	1.0	slash	0.523016
16	R	E	E	Q	Q	8	3	shapes	Q	8	True	9	(0.47721788946964772, -4.5737589466137587)	(6.6931170247009266, -3.081805946530447)	(-3.5320102400706022, 7.0925355808675548)	(-8.4831950171195025, 3.4044825342499418)	1.0	z	1.31065
17	R	E	E	F	R	4	0	shapes	R	8	True	9	(5.4725089163166487, -1.1702496383839005)	(0.29759289468370298, 7.6870357950027426)	(-2.9925601810732765, 5.3045008649149334)	(-4.645173108406782, -5.7092739185414718)	1.0	z	1.0582
18	R	E	R	Q	F	4	1	shapes	E	8	False	9	(-3.6984334152024489, -6.3695984523295675)	(-1.3436462035252514, 5.4840705852375304)	(5.1132148596966083, 6.6993029042730061)	(6.2422618699090151, -1.5129804858890532)	1.0	z	1.30392
19	Q	E	E	Q	F	8	2	shapes	E	8	False	9	(0.40987646778414266, 1.7253450571882034)	(6.4297006737034099, 6.4307341916197807)	(-7.0115232781754342, -7.9579567750201381)	(3.6711739522396591, -2.8219220021143938)	1.0	z	1.4373
20	Q	E	Q	E	R	8	0	shapes	Q	8	False	9	(8.2657698195794929, -0.53947085717564924)	(-7.2998778215289732, -1.5998729395890638)	(3.4616540318284059, 4.2113315167193459)	(3.6803711958388892, -7.1557427310644872)	1.0	slash	1.37112
21	Q	E	E	E	E	4	3	shapes	E	8	True	9	(5.4588900742451152, -7.6784995732058725)	(-8.0829996887762956, 4.4091205554153046)	(6.0777752910810694, 1.5981631465953221)	(-8.200395157183884, -6.6834985345316262)	1.0	z	0.86704
22	Q	E	F	Q	R	8	5	shapes	E	8	False	9	(-6.3072993289537909, -1.0651611501209759)	(0.14656864276938109, -5.4878151478292123)	(-1.9844343664774451, 0.96018305703366735)	(-8.3182082155019934, 8.7492216301625056)	1.0	slash	1.38626
23	R	E	R	Q	Q	4	2	shapes	R	8	False	9	(3.0806751146219007, 4.1194372800997314)	(8.6197189051913945, -5.9715530463461519)	(-7.4280553766567525, 4.2650027499962881)	(-0.99859628197337891, -7.9942761705531602)	1.0	z	0.768155
